wind_speed,wind_direction
14.5,312.29
14.5,111.46
14.5,40.65
14.5,110.69
14.5,128.08
14.5,107.05
14.5,98.72
14.5,98.59
14.5,123.34
14.5,75.52
14.46,122.31
14.46,98.36
14.46,124.98
14.44,119.85
14.41,124.71
14.4,292.99
14.4,121.27
14.4,72.09
14.4,101.04
14.4,114.05
14.4,86.75
14.4,91.17
14.4,123.68
14.4,117.61
14.4,315.24
14.4,103.62
14.4,278.46
14.4,90.97
14.4,83.95
14.4,87.14
14.4,108.37
14.4,105.45
14.4,314.34
14.4,113.85
14.4,72.64
14.37,115.05
14.36,96.01
14.36,107.19
14.35,109.44
14.35,293.1
14.3,118.83
14.3,124.58
14.3,125.62
14.3,312.81
14.3,120.74
14.3,307.62
14.3,87.42
14.3,104.42
14.3,95.02
14.3,134.36
14.3,310.63
14.3,122.22
14.3,60.95
14.3,122.25
14.3,87.95
14.27,91.93
14.26,111.67
14.26,23.72
14.24,130.18
14.22,104.72
14.22,300.18
14.21,125.91
14.21,123.29
14.2,115.39
14.2,106.39
14.2,91.28
14.2,126.0
14.2,110.7
14.2,115.1
14.2,114.06
14.2,68.48
14.2,315.26
14.2,107.99
14.2,116.38
14.2,100.23
14.2,71.27
14.2,69.82
14.2,117.24
14.2,89.48
14.2,90.36
14.2,107.21
14.2,104.88
14.2,72.68
14.2,89.88
14.2,118.15
14.2,94.17
14.2,123.38
14.2,75.59
14.2,314.66
14.2,114.78
14.2,121.33
14.2,108.44
14.2,125.6
14.2,103.8
14.2,130.02
14.2,274.33
14.2,98.86
14.19,119.33
14.19,117.44
14.19,125.59
14.19,95.47
14.19,80.8
14.15,124.3
14.14,126.63
14.14,121.64
14.13,120.1
14.13,305.81
14.12,134.69
14.11,119.65
14.1,124.78
14.1,119.45
14.1,126.94
14.1,114.41
14.1,116.21
14.1,122.03
14.1,108.43
14.1,48.16
14.1,73.98
14.1,126.27
14.1,108.51
14.1,127.81
14.1,102.8
14.1,97.36
14.1,291.4
14.09,118.17
14.08,83.89
14.07,114.64
14.06,97.93
14.04,102.84
14.04,123.36
14.01,118.91
14.0,131.18
14.0,88.49
14.0,108.7
14.0,117.88
14.0,97.5
14.0,132.92
14.0,125.45
14.0,95.98
14.0,93.33
14.0,83.74
14.0,119.46
14.0,98.24
14.0,114.94
13.98,129.49
13.98,133.05
13.97,121.55
13.96,122.38
13.95,114.92
13.94,126.95
13.94,64.39
13.93,118.41
13.9,65.2
13.9,113.28
13.9,96.39
13.9,127.13
13.9,120.78
13.9,128.17
13.9,296.24
13.9,114.54
13.9,316.22
13.9,110.37
13.9,117.93
13.9,286.02
13.9,125.69
13.9,103.62
13.9,92.11
13.9,104.21
13.9,114.55
13.9,78.58
13.9,103.95
13.9,71.52
13.85,79.98
13.82,119.95
13.81,297.69
13.8,125.81
13.8,108.68
13.8,121.74
13.8,290.92
13.8,79.35
13.8,108.0
13.8,94.08
13.8,139.13
13.8,94.26
13.8,100.14
13.8,139.06
13.8,118.8
13.8,109.57
13.8,117.06
13.8,357.17
13.79,351.35
13.78,131.47
13.76,17.22
13.75,101.36
13.74,98.76
13.73,107.43
13.73,110.85
13.72,127.28
13.72,87.22
13.7,299.62
13.7,123.59
13.7,133.25
13.7,133.08
13.7,91.03
13.7,87.0
13.7,87.0
13.7,262.33
13.7,126.89
13.7,104.42
13.7,124.74
13.7,115.36
13.7,124.03
13.7,125.73
13.7,123.05
13.7,128.52
13.7,100.0
13.7,38.32
13.7,84.54
13.7,100.94
13.7,30.09
13.7,108.73
13.7,85.71
13.7,122.11
13.7,111.33
13.7,95.68
13.7,91.32
13.7,89.03
13.7,328.16
13.7,72.15
13.7,127.59
13.68,110.92
13.68,101.81
13.67,98.37
13.66,108.53
13.65,109.31
13.65,127.99
13.65,115.05
13.64,111.61
13.64,91.32
13.64,151.1
13.64,121.55
13.63,127.46
13.63,349.64
13.62,118.39
13.61,358.71
13.6,80.42
13.6,120.26
13.6,128.0
13.6,126.85
13.6,118.38
13.6,121.3
13.6,120.85
13.6,118.45
13.6,126.02
13.6,126.72
13.6,89.16
13.6,127.86
13.6,108.68
13.6,106.56
13.6,102.32
13.6,99.04
13.6,85.14
13.6,74.05
13.6,270.43
13.6,126.06
13.6,130.02
13.6,313.3
13.6,115.06
13.6,124.25
13.6,88.34
13.6,82.1
13.6,36.33
13.6,93.08
13.59,346.01
13.59,281.26
13.58,99.81
13.58,233.62
13.56,104.83
13.55,110.17
13.55,118.8
13.54,113.48
13.54,124.35
13.54,99.03
13.53,97.01
13.53,134.48
13.53,140.91
13.52,312.3
13.52,296.38
13.52,304.45
13.52,292.62
13.52,303.3
13.52,287.89
13.52,73.52
13.52,296.58
13.52,295.19
13.52,91.17
13.52,88.15
13.52,109.73
13.52,99.15
13.52,84.49
13.52,85.16
13.52,92.11
13.52,40.78
13.52,133.36
13.52,105.41
13.52,87.46
13.52,47.99
13.52,13.38
13.52,18.44
13.52,86.49
13.52,96.32
13.51,93.01
13.51,356.78
13.51,102.29
13.51,353.29
13.5,56.31
13.5,124.7
13.5,109.33
13.5,121.87
13.5,120.25
13.5,117.28
13.5,97.58
13.5,137.68
13.5,284.45
13.5,61.29
13.5,90.51
13.5,319.17
13.5,113.23
13.5,113.04
13.5,113.24
13.5,95.35
13.5,228.0
13.5,114.97
13.5,111.51
13.5,108.12
13.5,99.3
13.5,103.57
13.5,127.29
13.5,128.2
13.5,126.37
13.49,326.86
13.48,119.46
13.48,121.41
13.48,305.01
13.48,117.35
13.48,120.83
13.48,113.37
13.47,314.09
13.47,46.45
13.47,75.54
13.47,79.1
13.46,304.66
13.46,103.67
13.46,113.92
13.46,33.98
13.46,27.72
13.46,125.11
13.45,64.56
13.45,358.19
13.45,150.87
13.45,143.15
13.45,92.79
13.45,115.89
13.45,310.24
13.45,126.7
13.45,355.21
13.45,133.57
13.45,28.61
13.45,301.95
13.44,306.47
13.44,357.53
13.44,117.91
13.44,142.69
13.44,119.22
13.44,326.06
13.44,134.03
13.44,333.48
13.43,352.34
13.43,146.79
13.43,90.97
13.43,21.83
13.42,126.39
13.42,358.71
13.42,352.4
13.42,123.41
13.42,120.44
13.42,350.16
13.41,125.23
13.41,124.27
13.41,295.51
13.41,112.63
13.41,110.71
13.41,334.47
13.4,313.62
13.4,302.37
13.4,119.62
13.4,123.01
13.4,122.66
13.4,322.04
13.4,125.84
13.4,317.4
13.4,309.98
13.4,112.4
13.4,117.09
13.4,87.84
13.4,318.02
13.4,116.32
13.4,115.42
13.4,95.45
13.4,111.57
13.4,131.36
13.4,94.59
13.4,60.58
13.4,133.91
13.4,132.12
13.4,129.28
13.4,105.6
13.4,102.29
13.4,333.73
13.4,0.49
13.39,125.06
13.39,350.0
13.38,294.48
13.38,299.96
13.37,123.02
13.37,100.77
13.36,342.21
13.36,109.59
13.36,91.35
13.36,317.99
13.36,131.03
13.36,121.02
13.35,317.75
13.35,297.49
13.34,134.49
13.34,314.79
13.34,101.23
13.34,340.73
13.34,126.93
13.34,335.7
13.34,114.21
13.34,103.83
13.34,93.81
13.33,154.68
13.33,116.6
13.33,112.73
13.32,126.07
13.32,135.06
13.32,120.97
13.31,114.56
13.31,117.83
13.31,126.64
13.31,101.37
13.3,81.9
13.3,351.64
13.3,165.17
13.3,319.75
13.3,114.35
13.3,50.59
13.3,113.72
13.3,127.82
13.3,125.89
13.3,124.9
13.3,125.5
13.3,113.5
13.3,73.14
13.3,78.19
13.3,113.89
13.3,120.12
13.3,123.4
13.3,111.56
13.3,121.62
13.3,105.54
13.3,115.19
13.3,303.37
13.3,54.71
13.3,109.21
13.3,111.42
13.3,132.82
13.3,295.69
13.3,123.62
13.3,305.72
13.3,122.05
13.3,119.18
13.3,99.45
13.3,303.79
13.3,132.35
13.3,132.24
13.3,65.96
13.3,85.37
13.3,118.17
13.29,118.45
13.28,17.69
13.28,313.92
13.27,131.62
13.27,312.35
13.26,53.97
13.26,347.02
13.26,126.0
13.25,126.39
13.25,125.12
13.24,359.18
13.24,115.03
13.23,302.99
13.22,117.88
13.21,298.91
13.21,121.17
13.2,112.36
13.2,105.03
13.2,124.6
13.2,121.01
13.2,310.17
13.2,64.96
13.2,132.38
13.2,129.2
13.2,102.48
13.2,84.04
13.2,115.05
13.2,98.82
13.2,101.52
13.2,108.29
13.2,47.37
13.2,108.29
13.2,307.45
13.2,100.84
13.2,71.82
13.2,89.97
13.2,100.1
13.2,316.35
13.2,126.39
13.2,120.02
13.2,48.19
13.2,104.2
13.2,48.92
13.2,137.34
13.2,287.28
13.19,341.11
13.19,104.13
13.19,282.06
13.19,130.49
13.19,355.65
13.19,41.01
13.19,105.89
13.18,125.31
13.18,132.77
13.17,333.14
13.16,102.99
13.15,57.37
13.14,304.76
13.13,98.48
13.13,347.3
13.13,357.43
13.12,92.55
13.12,127.71
13.11,320.76
13.1,125.19
13.1,2.76
13.1,326.03
13.1,96.21
13.1,125.71
13.1,127.84
13.1,68.16
13.1,86.93
13.1,116.14
13.1,301.62
13.1,298.73
13.1,310.56
13.1,120.01
13.1,122.79
13.1,316.91
13.1,119.2
13.1,314.03
13.1,109.75
13.1,118.76
13.1,109.23
13.1,86.72
13.1,117.35
13.1,129.14
13.1,107.68
13.1,94.76
13.1,110.92
13.1,113.83
13.1,318.81
13.1,119.32
13.1,100.87
13.1,61.3
13.1,124.28
13.1,101.88
13.1,100.32
13.1,123.73
13.1,129.89
13.1,91.44
13.1,65.38
13.09,345.35
13.09,318.84
13.08,55.29
13.08,128.67
13.07,30.24
13.07,308.94
13.07,132.79
13.06,116.71
13.05,120.61
13.04,124.89
13.04,128.27
13.04,100.13
13.04,331.55
13.04,59.87
13.03,135.55
13.03,112.6
13.02,357.78
13.01,304.07
13.01,123.89
13.01,87.93
13.0,121.79
13.0,125.17
13.0,124.89
13.0,321.08
13.0,116.74
13.0,126.01
13.0,117.8
13.0,104.84
13.0,112.81
13.0,129.82
13.0,117.2
13.0,90.4
13.0,302.15
13.0,102.84
13.0,88.94
13.0,111.0
13.0,127.9
13.0,140.07
12.99,117.33
12.99,131.94
12.97,323.89
12.96,344.57
12.96,121.68
12.95,129.0
12.95,333.21
12.94,113.42
12.93,65.52
12.93,120.08
12.92,312.93
12.91,309.03
12.91,306.82
12.9,101.84
12.9,126.04
12.9,87.23
12.9,89.88
12.9,297.79
12.9,79.76
12.9,127.44
12.9,100.68
12.9,133.74
12.9,73.22
12.9,317.1
12.9,107.76
12.9,322.31
12.9,311.39
12.9,128.68
12.9,306.65
12.9,280.45
12.9,120.15
12.9,102.86
12.9,75.28
12.9,117.08
12.9,133.01
12.9,135.62
12.9,117.58
12.9,118.17
12.9,91.65
12.9,120.01
12.9,48.04
12.9,82.06
12.9,306.24
12.9,118.73
12.9,131.92
12.89,106.45
12.88,128.83
12.86,99.85
12.86,112.34
12.85,70.58
12.84,109.19
12.83,107.31
12.82,94.31
12.8,120.88
12.8,122.9
12.8,120.45
12.8,122.74
12.8,345.96
12.8,125.7
12.8,107.64
12.8,92.13
12.8,114.84
12.8,101.37
12.8,105.09
12.8,117.59
12.8,307.7
12.8,297.34
12.8,111.81
12.8,302.38
12.8,100.92
12.8,299.83
12.8,67.4
12.8,247.65
12.8,289.1
12.8,114.6
12.8,110.29
12.78,116.88
12.78,108.57
12.77,122.58
12.77,293.36
12.76,118.14
12.76,126.11
12.76,321.69
12.75,304.93
12.74,95.03
12.73,132.43
12.72,111.62
12.71,119.2
12.7,86.18
12.7,129.74
12.7,131.59
12.7,96.24
12.7,125.79
12.7,118.31
12.7,299.79
12.7,54.63
12.7,315.49
12.7,305.95
12.7,113.63
12.7,110.22
12.7,117.73
12.7,104.22
12.7,314.3
12.7,110.24
12.7,310.49
12.7,101.28
12.7,321.04
12.7,105.55
12.7,132.04
12.7,105.4
12.7,136.45
