speed,direction
14.96,120.94
14.95,285.32
14.95,116.52
14.93,346.97
14.91,116.52
14.91,355.52
14.90,125.69
14.90,123.56
14.90,124.15
14.90,122.16
14.90,114.75
14.90,79.93
14.90,107.74
14.90,310.55
14.90,99.83
14.90,87.83
14.90,136.03
14.90,120.89
14.90,119.53
14.90,118.29
14.90,22.09
14.90,102.66
14.88,121.32
14.86,351.90
14.86,104.59
14.86,28.65
14.84,122.38
14.84,300.23
14.83,36.95
14.83,39.19
14.82,300.47
14.81,31.39
14.81,302.28
14.80,120.47
14.80,130.53
14.80,131.18
14.80,98.99
14.80,107.39
14.80,109.40
14.80,120.04
14.80,108.55
14.80,116.73
14.80,259.50
14.80,96.86
14.80,132.26
14.80,89.08
14.80,87.60
14.80,119.28
14.76,120.06
14.76,117.27
14.75,39.36
14.72,103.88
14.70,90.10
14.70,121.97
14.70,357.17
14.70,92.70
14.70,122.17
14.70,95.29
14.70,135.21
14.70,114.06
14.70,91.87
14.70,81.86
14.70,114.21
14.69,303.87
14.67,126.30
14.67,106.27
14.66,125.46
14.64,108.55
14.64,130.24
14.62,131.05
14.62,78.93
14.62,114.04
14.60,115.17
14.60,108.70
14.60,78.80
14.60,91.83
14.60,132.26
14.60,130.28
14.60,109.74
14.60,86.72
14.60,320.90
14.60,101.56
14.60,98.61
14.60,118.42
14.60,90.21
14.60,62.16
14.60,96.50
14.60,103.69
14.54,94.13
14.52,133.62
14.50,123.93
14.50,126.15
14.50,116.02
14.50,126.11
14.50,126.24
14.50,102.22
14.50,128.39
14.50,312.29
14.50,111.46
14.50,40.65
14.50,110.69
14.50,128.08
14.50,107.05
14.50,98.72
14.50,98.59
14.50,123.34
14.50,75.52
14.46,122.31
14.46,98.36
14.46,124.98
14.44,119.85
14.41,124.71
14.40,292.99
14.40,121.27
14.40,72.09
14.40,101.04
14.40,114.05
14.40,86.75
14.40,91.17
14.40,123.68
14.40,117.61
14.40,315.24
14.40,103.62
14.40,278.46
14.40,90.97
14.40,83.95
14.40,87.14
14.40,108.37
14.40,105.45
14.40,314.34
14.40,113.85
14.40,72.64
14.37,115.05
14.36,96.01
14.36,107.19
14.35,109.44
14.35,293.10
14.30,118.83
14.30,124.58
14.30,125.62
14.30,312.81
14.30,120.74
14.30,307.62
14.30,87.42
14.30,104.42
14.30,95.02
14.30,134.36
14.30,310.63
14.30,122.22
14.30,60.95
14.30,122.25
14.30,87.95
14.27,91.93
14.26,111.67
14.26,23.72
14.24,130.18
14.22,104.72
14.22,300.18
14.21,125.91
14.21,123.29
14.20,115.39
14.20,106.39
14.20,91.28
14.20,126.00
14.20,110.70
14.20,115.10
14.20,114.06
14.20,68.48
14.20,315.26
14.20,107.99
14.20,116.38
14.20,100.23
14.20,71.27
14.20,69.82
14.20,117.24
14.20,89.48
14.20,90.36
14.20,107.21
14.20,104.88
14.20,72.68
14.20,89.88
14.20,118.15
14.20,94.17
14.20,123.38
14.20,75.59
14.20,314.66
14.20,114.78
14.20,121.33
14.20,108.44
14.20,125.60
14.20,103.80
14.20,130.02
14.20,274.33
14.20,98.86
14.19,119.33
14.19,117.44
14.19,125.59
14.19,95.47
14.19,80.80
14.15,124.30
14.14,126.63
14.14,121.64
14.13,120.10
14.13,305.81
14.12,134.69
14.11,119.65
14.10,124.78
14.10,119.45
14.10,126.94
14.10,114.41
14.10,116.21
14.10,122.03
14.10,108.43
14.10,48.16
14.10,73.98
14.10,126.27
14.10,108.51
14.10,127.81
14.10,102.80
14.10,97.36
14.10,291.40
14.09,118.17
14.08,83.89
14.07,114.64
14.06,97.93
14.04,102.84
14.04,123.36
14.01,118.91
14.00,131.18
14.00,88.49
14.00,108.70
14.00,117.88
14.00,97.50
14.00,132.92
14.00,125.45
14.00,95.98
14.00,93.33
14.00,83.74
14.00,119.46
14.00,98.24
14.00,114.94
13.98,129.49
13.98,133.05
13.97,121.55
13.96,122.38
13.95,114.92
13.94,126.95
13.94,64.39
13.93,118.41
13.90,65.20
13.90,113.28
13.90,96.39
13.90,127.13
13.90,120.78
13.90,128.17
13.90,296.24
13.90,114.54
13.90,316.22
13.90,110.37
13.90,117.93
13.90,286.02
13.90,125.69
13.90,103.62
13.90,92.11
13.90,104.21
13.90,114.55
13.90,78.58
13.90,103.95
13.90,71.52
13.85,79.98
13.82,119.95
13.81,297.69
13.80,125.81
13.80,108.68
13.80,121.74
13.80,290.92
13.80,79.35
13.80,108.00
13.80,94.08
13.80,139.13
13.80,94.26
13.80,100.14
13.80,139.06
13.80,118.80
13.80,109.57
13.80,117.06
13.80,357.17
13.79,351.35
13.78,131.47
13.76,17.22
13.75,101.36
13.74,98.76
13.73,107.43
13.73,110.85
13.72,127.28
13.72,87.22
13.70,299.62
13.70,123.59
13.70,133.25
13.70,133.08
13.70,91.03
13.70,87.00
13.70,87.00
13.70,262.33
13.70,126.89
13.70,104.42
13.70,124.74
13.70,115.36
13.70,124.03
13.70,125.73
13.70,123.05
13.70,128.52
13.70,100.00
13.70,38.32
13.70,84.54
13.70,100.94
13.70,30.09
13.70,108.73
13.70,85.71
13.70,122.11
13.70,111.33
13.70,95.68
13.70,91.32
13.70,89.03
13.70,328.16
13.70,72.15
13.70,127.59
13.68,110.92
13.68,101.81
13.67,98.37
13.66,108.53
13.65,109.31
13.65,127.99
13.65,115.05
13.64,111.61
13.64,91.32
13.64,151.10
13.64,121.55
13.63,127.46
13.63,349.64
13.62,118.39
13.61,358.71
13.60,80.42
13.60,120.26
13.60,128.00
13.60,126.85
13.60,118.38
13.60,121.30
13.60,120.85
13.60,118.45
13.60,126.02
13.60,126.72
13.60,89.16
13.60,127.86
13.60,108.68
13.60,106.56
13.60,102.32
13.60,99.04
13.60,85.14
13.60,74.05
13.60,270.43
13.60,126.06
13.60,130.02
13.60,313.30
13.60,115.06
13.60,124.25
13.60,88.34
13.60,82.10
13.60,36.33
13.60,93.08
13.59,346.01
13.59,281.26
13.58,99.81
13.58,233.62
13.56,104.83
13.55,110.17
13.55,118.80
13.54,113.48
13.54,124.35
13.54,99.03
13.53,97.01
13.53,134.48
13.53,140.91
13.52,312.30
13.52,296.38
13.52,304.45
13.52,292.62
13.52,303.30
13.52,287.89
13.52,73.52
13.52,296.58
13.52,295.19
13.52,91.17
13.52,88.15
13.52,109.73
13.52,99.15
13.52,84.49
13.52,85.16
13.52,92.11
13.52,40.78
13.52,133.36
13.52,105.41
13.52,87.46
13.52,47.99
13.52,13.38
13.52,18.44
13.52,86.49
13.52,96.32
13.51,93.01
13.51,356.78
13.51,102.29
13.51,353.29
13.50,56.31
13.50,124.70
13.50,109.33
13.50,121.87
13.50,120.25
13.50,117.28
13.50,97.58
13.50,137.68
13.50,284.45
13.50,61.29
13.50,90.51
13.50,319.17
13.50,113.23
13.50,113.04
13.50,113.24
13.50,95.35
13.50,228.00
13.50,114.97
13.50,111.51
13.50,108.12
13.50,99.30
13.50,103.57
13.50,127.29
13.50,128.20
13.50,126.37
13.49,326.86
13.48,119.46
13.48,121.41
13.48,305.01
13.48,117.35
13.48,120.83
13.48,113.37
13.47,314.09
13.47,46.45
13.47,75.54
13.47,79.10
13.46,304.66
13.46,103.67
13.46,113.92
13.46,33.98
13.46,27.72
13.46,125.11
13.45,64.56
13.45,358.19
13.45,150.87
13.45,143.15
13.45,92.79
13.45,115.89
13.45,310.24
13.45,126.70
13.45,355.21
13.45,133.57
13.45,28.61
13.45,301.95
13.44,306.47
13.44,357.53
13.44,117.91
13.44,142.69
13.44,119.22
13.44,326.06
13.44,134.03
13.44,333.48
13.43,352.34
13.43,146.79
13.43,90.97
13.43,21.83
13.42,126.39
13.42,358.71
13.42,352.40
13.42,123.41
13.42,120.44
13.42,350.16
13.41,125.23
13.41,124.27
13.41,295.51
13.41,112.63
13.41,110.71
13.41,334.47
13.40,313.62
13.40,302.37
13.40,119.62
13.40,123.01
13.40,122.66
13.40,322.04
13.40,125.84
13.40,317.40
13.40,309.98
13.40,112.40
13.40,117.09
13.40,87.84
13.40,318.02
13.40,116.32
13.40,115.42
13.40,95.45
13.40,111.57
13.40,131.36
13.40,94.59
13.40,60.58
13.40,133.91
13.40,132.12
13.40,129.28
13.40,105.60
13.40,102.29
13.40,333.73
13.40,0.49
13.39,125.06
13.39,350.00
13.38,294.48
13.38,299.96
13.37,123.02
13.37,100.77
13.36,342.21
13.36,109.59
13.36,91.35
13.36,317.99
13.36,131.03
13.36,121.02
13.35,317.75
13.35,297.49
13.34,134.49
13.34,314.79
13.34,101.23
13.34,340.73
13.34,126.93
13.34,335.70
13.34,114.21
13.34,103.83
13.34,93.81
13.33,154.68
13.33,116.60
13.33,112.73
13.32,126.07
13.32,135.06
13.32,120.97
13.31,114.56
